file,category,source_page,original_url,license,width,height,bytes,sha256,downloaded_at_utc
camera_haiou_31.jpg,camera,https://commons.wikimedia.org/wiki/File:PRC_Product_Shanghai_China_Haiou-31_Seagull_Camera.JPG,https://upload.wikimedia.org/wikipedia/commons/6/60/PRC_Product_Shanghai_China_Haiou-31_Seagull_Camera.JPG,CC BY-SA 3.0,1200,1600,1155266,065147cf4f46f268f58f08280cd549e616ad5402377f98ea1556fe7d48a13002,2026-07-25
chair_rocking.png,furniture,https://commons.wikimedia.org/wiki/File:Rocking_Chair_(PSF).png,https://upload.wikimedia.org/wikipedia/commons/5/56/Rocking_Chair_%28PSF%29.png,Public domain,1413,2326,349737,59597cc1bfd01033f5075f55760481a7d2c04fe35c00dc1d999da732982d05cc,2026-07-25
clothing_ecwcs.jpg,clothing,https://commons.wikimedia.org/wiki/File:Generation_III_Extended_Cold_Weather_Clothing_System.jpg,https://upload.wikimedia.org/wikipedia/commons/2/28/Generation_III_Extended_Cold_Weather_Clothing_System.jpg,Public domain,4256,2832,871515,6573ffb4b80721261aba897cf1e4ac4ce222b62900e11883ec9da7226d7145fa,2026-07-25
handbag_tooled_leather.jpg,handbag,"https://commons.wikimedia.org/wiki/File:Tooled_leather_handbag_by_N._Raddi,_late_1930s-early_1940s_02.jpg","https://upload.wikimedia.org/wikipedia/commons/7/70/Tooled_leather_handbag_by_N._Raddi%2C_late_1930s-early_1940s_02.jpg",CC0,850,900,133228,6e34ed7263d2d2de65e83b3315c350eff0d61a504a8a688c0fe3fbe90a058b19,2026-07-25
shoe_reebok_royal_glide.jpg,shoe,https://commons.wikimedia.org/wiki/File:Reebok_Royal_Glide_Ripple_Clip_shoe.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f0/Reebok_Royal_Glide_Ripple_Clip_shoe.jpg,CC BY-SA 4.0,4600,3344,4777486,48b988ea527c7665b5d1c5c71e7f794c2d5dad918a0920f05367e52e742f639f,2026-07-25
watch_analog.jpg,watch,https://commons.wikimedia.org/wiki/File:Analog_Wrist_Watch.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Analog_Wrist_Watch.jpg,CC BY-SA 4.0,4640,3480,9927004,32d1bf4ab3d6def15fe2eb6688696290e68365e022f439ed0d71854468b6a092,2026-07-25
